# SPOT, PRICE, DELTA
3.373373373373373596e+01,6.302604457120055237e+00,-9.122533729650982304e-01
3.377377377377377599e+01,6.266116646282323899e+00,-9.080385597832516531e-01
3.381381381381381601e+01,6.229780243276149321e+00,-9.039660345753196546e-01
3.385385385385385604e+01,6.193741176464663489e+00,-8.998763954159700873e-01
3.389389389389389606e+01,6.157826269979982392e+00,-8.957074211290967369e-01
3.393393393393393609e+01,6.122008765851022716e+00,-8.915356920842347765e-01
3.397397397397397611e+01,6.086419144023325067e+00,-8.875311922649884444e-01
3.401401401401401614e+01,6.050980917653126845e+00,-8.834801615174775469e-01
3.405405405405405617e+01,6.015638555040788482e+00,-8.793770099476987401e-01
3.409409409409409619e+01,5.980464360596267070e+00,-8.753832770540126429e-01
3.413413413413413622e+01,5.945563908033844491e+00,-8.713635972609036218e-01
3.417417417417417624e+01,5.910789662958871205e+00,-8.672963569202036815e-01
3.421421421421421627e+01,5.876124050760942907e+00,-8.632385473094941197e-01
3.425425425425425630e+01,5.841654675421901644e+00,-8.592972440335533424e-01
3.429429429429429632e+01,5.807331582716856566e+00,-8.553362803653734581e-01
3.433433433433433635e+01,5.773111558613473804e+00,-8.513413522901570607e-01
3.437437437437437637e+01,5.739071887493019553e+00,-8.474152781056470962e-01
3.441441441441441640e+01,5.705286337685600451e+00,-8.434741940984870068e-01
3.445445445445445642e+01,5.671629836394090241e+00,-8.395061850925875646e-01
3.449449449449449645e+01,5.638085851150898442e+00,-8.355473413922194226e-01
3.453453453453453648e+01,5.604713648235315482e+00,-8.316764902761361045e-01
3.457457457457457650e+01,5.571483954426931895e+00,-8.278043301711488500e-01
3.461461461461461653e+01,5.538362383493735663e+00,-8.239123147548417236e-01
3.465465465465465655e+01,5.505429321411883237e+00,-8.200539255565487684e-01
3.469469469469469658e+01,5.472736387634223654e+00,-8.161929956977020950e-01
3.473473473473473661e+01,5.440174125155831319e+00,-8.123206888803343739e-01
3.477477477477477663e+01,5.407724930553433396e+00,-8.084537699891917173e-01
3.481481481481481666e+01,5.375427965900249738e+00,-8.046558511510807365e-01
3.485485485485485668e+01,5.343269521444030445e+00,-8.008699319025909258e-01
3.489489489489489671e+01,5.311222355835262476e+00,-7.970749362056138709e-01
3.493493493493493673e+01,5.279368111759636051e+00,-7.932886315437986946e-01
3.497497497497497676e+01,5.247745554313191896e+00,-7.895071632948073015e-01
3.501501501501501679e+01,5.216254014281457074e+00,-7.857265746193881073e-01
